cs_year,date_occur,crime,description,ileads_address,ileads_street,x_coord,y_coord
2013,01/05/2013 18:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,5110,PALM ST,890135,1035238
2013,01/05/2013 18:50,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,0,N 20TH ST / WASHINGT,903711.6,1019877
2013,01/05/2013 18:50,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,4138,WYOMING ST,889620.4,1007431
2013,01/05/2013 19:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4238,LINTON AVE,900783.9,1032972
2013,01/05/2013 21:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4008,DRYDEN AVE,894714.6,1034428
2013,01/05/2013 21:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4512,FAIR AVE,899393.8,1034529
2013,01/05/2013 21:02,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6000,NATURAL BRIDGE AVE,884487.5,1039583
2013,01/05/2013 21:14,184999,DRUGS-UNLAWFUL PRESCRP/OTHR UNSPEC PRESCRP,8205,VIRGINIA AVE,886803.3,987594.9
2013,01/05/2013 22:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4990,THOLOZAN AVE,884318.5,1005134
2013,01/05/2013 23:29,151130,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,4530,RED BUD AVE,899110.3,1035217
2013,01/06/2013 00:01,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3432,CRITTENDEN ST,894855.8,1008485
2013,01/06/2013 00:30,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3145,S GRAND BLVD,893723,1007999
2013,01/06/2013 01:30,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,6015,GRAVOIS AVE,884003.3,998793.8
2013,01/06/2013 01:35,241100,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,999,N 2ND ST,910439.8,1019433
2013,01/06/2013 02:00,142320,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2840,PENNSYLVANIA AVE,897023.7,1008706
