GEOID,totalPop,totalPop_moe,raceTotal,raceTotal_moe,black,black_moe,black_prop,medianInc,medianInc_moe,ownTotal,ownTotal_moe,ownOcc,ownOcc_moe,ownOcc_prop,pvtyTotal,pvtyTotal_moe,pvty,pvty_moe,pvty_prop,emplyTotal,emplyTotal_moe,unemply,unemply_moe,unemply_prop
29510110200,2142,422,2142,422,2133,424,0.9957983193277311,26185,4795,2142,422,808,265,0.3772175536881419,2142,422,738,301,0.3445378151260504,1732,319,891,194,0.5144341801385681
29510110300,1936,360,1936,360,1889,361,0.9757231404958677,17448,6586,1936,360,824,316,0.4256198347107438,1936,360,778,275,0.4018595041322314,1635,286,670,125,0.40978593272171254
29510110400,2173,410,2173,410,2126,406,0.9783709157846295,24179,8200,2161,410,1079,291,0.4993058769088385,2173,410,715,370,0.3290381960423378,1861,318,868,249,0.4664159054271897
29510110500,1070,168,1070,168,1042,165,0.9738317757009346,19397,4352,1055,168,567,199,0.5374407582938389,1070,168,467,164,0.43644859813084114,892,124,475,96,0.5325112107623319
29510111100,2001,310,2001,310,1921,305,0.9600199900049975,29315,7231,1876,288,524,164,0.279317697228145,1879,282,735,305,0.39116551357104845,1575,225,584,159,0.3707936507936508
29510111200,862,218,862,218,771,185,0.894431554524362,22054,5629,756,199,410,205,0.5423280423280423,777,199,391,235,0.5032175032175032,772,181,302,87,0.3911917098445596
29510111300,1269,225,1269,225,1266,225,0.9976359338061466,19261,5580,1265,225,436,160,0.34466403162055337,1257,221,412,144,0.32776451869530626,1092,177,565,106,0.5173992673992674
29510111400,1495,312,1495,312,1444,316,0.9658862876254181,30601,10152,1481,312,446,182,0.3011478730587441,1490,312,492,314,0.3302013422818792,1066,191,520,159,0.4878048780487805
29510111500,617,116,617,116,608,125,0.9854132901134521,35153,12623,612,117,316,114,0.5163398692810458,616,117,241,93,0.3912337662337662,442,87,195,60,0.4411764705882353
29510112100,4253,468,4253,468,1147,393,0.26969198213026097,56118,14941,4113,462,2017,349,0.49039630440068077,4177,465,565,181,0.135264543931051,3821,396,1230,257,0.32190526040303585
